OrderID,LineID,OrderDate,ShipDate,CustomerName,ShipState,Region,SKU,ProductName,Category,Quantity,UnitPrice,UnitDiscount,UnitCOGS,Shipping,Tax,SalesChannel,PaymentMethod,OrderStatus
SO-2025-10085,86,08/05/2025,2025-08-08,Customer 85,GA,South,SKU35,Product 35,Apparel,1,$77.8,$3.89,$42.14,$7.77,$4.67,Instagram,PayPal,Cancelled
SO-2025-10086,87,07/01/2025,2025-07-03,Customer 86,IL,West,SKU36,Product 36,Apparel,3,$48.18,$2.41,$22.45,$4.93,$8.67,Amazon,PayPal,Shipped
SO-2025-10087,88,05/21/2025,2025-05-25,Customer 87,WA,West,SKU37,Product 37,Baby,2,$52.18,$2.61,$28.6,$1.18,$6.26,Instagram,Visa,Returned
SO-2025-10088,89,12/27/2025,2025-12-28,Customer 88,WA,Midwest,SKU38,Product 38,Home & Kitchen,3,$77.14,$0.0,$34.52,$3.75,$13.89,Website,PayPal,Returned
SO-2025-10089,90,11/08/2025,2025-11-09,Customer 89,FL,South,SKU39,Product 39,Baby,1,$30.12,$1.51,$16.88,$9.7,$1.81,Website,Visa,Shipped
SO-2025-10090,91,11/13/2025,2025-11-17,Customer 90,CA,Northeast,SKU40,Product 40,Apparel,3,$90.2,$4.51,$52.76,$0.74,$16.24,Amazon,PayPal,Cancelled
SO-2025-10091,92,08/15/2025,2025-08-16,Customer 91,FL,West,SKU41,Product 41,Apparel,3,$97.24,$4.86,$42.13,$6.96,$17.5,Amazon,Visa,Shipped
SO-2025-10092,93,01/01/2025,2025-01-02,Customer 92,NJ,Northeast,SKU42,Product 42,Apparel,1,$72.72,$7.27,$42.19,$9.15,$4.36,Website,Visa,Cancelled
SO-2025-10093,94,11/26/2025,2025-11-30,Customer 93,WA,West,SKU43,Product 43,Home & Kitchen,4,$15.21,$0.76,$7.47,$3.36,$3.65,Instagram,Visa,Shipped
SO-2025-10094,95,05/02/2025,2025-05-04,Customer 94,CA,South,SKU44,Product 44,Apparel,4,$68.22,$10.23,$32.11,$2.66,$16.37,Instagram,PayPal,Cancelled
SO-2025-10095,96,12/23/2025,2025-12-24,Customer 95,AZ,Midwest,SKU45,Product 45,Apparel,1,$33.4,$3.34,$18.02,$2.8,$2.0,Instagram,PayPal,Cancelled
SO-2025-10096,97,07/31/2025,2025-08-03,Customer 96,OH,West,SKU46,Product 46,Baby,1,$71.63,$0.0,$30.56,$8.23,$4.3,Instagram,Mastercard,Returned
SO-2025-10097,98,03/23/2025,2025-03-25,Customer 97,GA,South,SKU47,Product 47,Wellness,3,$75.31,$7.53,$43.97,$9.33,$13.56,Instagram,Mastercard,Cancelled
SO-2025-10098,99,08/30/2025,2025-09-01,Customer 98,FL,Midwest,SKU48,Product 48,Apparel,3,$14.07,$1.41,$6.79,$8.11,$2.53,Website,PayPal,Returned
SO-2025-10099,100,08/12/2025,2025-08-13,Customer 99,FL,Midwest,SKU49,Product 49,Wellness,3,$23.54,$0.0,$12.95,$9.7,$4.24,Amazon,PayPal,Shipped
SO-2025-10100,101,10/10/2025,2025-10-13,Customer 100,NY,South,SKU0,Product 0,Baby,1,$85.45,$4.27,$34.81,$2.73,$5.13,Amazon,PayPal,Shipped
SO-2025-10101,102,11/07/2025,2025-11-09,Customer 101,FL,Northeast,SKU1,Product 1,Apparel,2,$72.25,$0.0,$43.35,$9.13,$8.67,Amazon,Mastercard,Cancelled
SO-2025-10102,103,01/23/2025,2025-01-24,Customer 102,CA,West,SKU2,Product 2,Home & Kitchen,1,$75.35,$3.77,$42.94,$2.41,$4.52,Website,Mastercard,Returned
SO-2025-10103,104,01/01/2025,2025-01-02,Customer 103,AZ,Northeast,SKU3,Product 3,Pets,3,$34.73,$5.21,$15.48,$7.57,$6.25,Amazon,Mastercard,Shipped
SO-2025-10104,105,02/03/2025,2025-02-05,Customer 104,IL,Midwest,SKU4,Product 4,Apparel,4,$34.18,$3.42,$18.26,$4.76,$8.2,Amazon,PayPal,Cancelled
SO-2025-10105,106,09/16/2025,2025-09-17,Customer 105,WA,South,SKU5,Product 5,Apparel,3,$37.7,$0.0,$19.24,$0.88,$6.79,Website,Mastercard,Returned
SO-2025-10106,107,09/08/2025,2025-09-11,Customer 106,CA,Northeast,SKU6,Product 6,Apparel,1,$63.1,$6.31,$25.6,$7.85,$3.79,Amazon,PayPal,Cancelled
SO-2025-10107,108,03/07/2025,2025-03-09,Customer 107,OH,South,SKU7,Product 7,Apparel,3,$29.17,$1.46,$15.27,$3.51,$5.25,Website,PayPal,Cancelled
SO-2025-10108,109,04/08/2025,2025-04-10,Customer 108,NJ,West,SKU8,Product 8,Pets,2,$45.3,$4.53,$18.94,$3.48,$5.44,Instagram,PayPal,Shipped
SO-2025-10109,110,06/15/2025,2025-06-17,Customer 109,PA,West,SKU9,Product 9,Baby,1,$80.53,$12.08,$37.01,$8.62,$4.83,Amazon,Visa,Shipped
SO-2025-10110,111,05/13/2025,2025-05-14,Customer 110,GA,West,SKU10,Product 10,Wellness,1,$23.24,$3.49,$13.21,$2.58,$1.39,Website,Mastercard,Returned
SO-2025-10111,112,03/10/2025,2025-03-13,Customer 111,IL,West,SKU11,Product 11,Wellness,2,$65.87,$3.29,$30.68,$5.8,$7.9,Amazon,Mastercard,Shipped
SO-2025-10112,113,04/21/2025,2025-04-23,Customer 112,CA,Northeast,SKU12,Product 12,Pets,1,$51.41,$7.71,$22.13,$6.98,$3.08,Website,Mastercard,Shipped
SO-2025-10113,114,12/26/2025,2025-12-29,Customer 113,PA,Northeast,SKU13,Product 13,Home & Kitchen,4,$41.11,$4.11,$23.63,$6.68,$9.87,Website,Visa,Shipped
SO-2025-10114,115,03/02/2025,2025-03-06,Customer 114,AZ,South,SKU14,Product 14,Baby,2,$30.15,$0.0,$13.08,$3.48,$3.62,Website,Mastercard,Cancelled
SO-2025-10115,116,01/22/2025,2025-01-24,Customer 115,PA,South,SKU15,Product 15,Apparel,1,$59.38,$0.0,$29.22,$8.94,$3.56,Instagram,Mastercard,Returned
SO-2025-10116,117,03/19/2025,2025-03-22,Customer 116,NY,Northeast,SKU16,Product 16,Baby,2,$72.14,$0.0,$30.19,$6.28,$8.66,Amazon,Visa,Cancelled
SO-2025-10117,118,08/27/2025,2025-08-28,Customer 117,NJ,Midwest,SKU17,Product 17,Pets,4,$88.62,$8.86,$42.14,$2.77,$21.27,Instagram,Mastercard,Returned
SO-2025-10118,119,09/14/2025,2025-09-17,Customer 118,FL,Northeast,SKU18,Product 18,Pets,4,$77.34,$0.0,$46.19,$3.7,$18.56,Instagram,PayPal,Shipped
SO-2025-10119,120,08/02/2025,2025-08-04,Customer 119,PA,Midwest,SKU19,Product 19,Pets,2,$65.64,$6.56,$33.23,$7.47,$7.88,Website,PayPal,Shipped
SO-2025-10120,121,01/14/2025,2025-01-17,Customer 120,IL,West,SKU20,Product 20,Wellness,3,$32.72,$3.27,$17.58,$5.12,$5.89,Website,PayPal,Cancelled
SO-2025-10121,122,08/27/2025,2025-08-30,Customer 121,IL,Northeast,SKU21,Product 21,Apparel,4,$19.65,$0.98,$9.25,$2.42,$4.72,Amazon,Visa,Returned
SO-2025-10122,123,04/29/2025,2025-05-02,Customer 122,IL,West,SKU22,Product 22,Baby,1,$26.41,$2.64,$12.27,$0.89,$1.58,Amazon,Visa,Cancelled
SO-2025-10123,124,05/06/2025,2025-05-10,Customer 123,WA,Midwest,SKU23,Product 23,Pets,4,$30.99,$0.0,$16.08,$3.55,$7.44,Instagram,Mastercard,Returned
SO-2025-10124,125,08/21/2025,2025-08-23,Customer 124,OH,Midwest,SKU24,Product 24,Wellness,1,$53.16,$7.97,$26.97,$5.58,$3.19,Website,Visa,Returned
SO-2025-10125,126,08/24/2025,2025-08-26,Customer 125,CA,South,SKU25,Product 25,Apparel,3,$44.09,$0.0,$20.84,$6.08,$7.94,Instagram,PayPal,Cancelled
SO-2025-10126,127,11/11/2025,2025-11-13,Customer 126,OH,Midwest,SKU26,Product 26,Home & Kitchen,1,$39.73,$0.0,$17.78,$2.25,$2.38,Amazon,Mastercard,Shipped
SO-2025-10127,128,03/11/2025,2025-03-13,Customer 127,CA,South,SKU27,Product 27,Wellness,3,$53.9,$2.7,$23.57,$8.06,$9.7,Amazon,Mastercard,Returned
SO-2025-10128,129,06/01/2025,2025-06-05,Customer 128,AZ,Midwest,SKU28,Product 28,Pets,3,$85.81,$8.58,$43.33,$6.97,$15.45,Website,PayPal,Shipped
SO-2025-10129,130,08/11/2025,2025-08-14,Customer 129,PA,South,SKU29,Product 29,Apparel,2,$45.81,$6.87,$26.73,$8.17,$5.5,Amazon,PayPal,Shipped
SO-2025-10130,131,04/04/2025,2025-04-07,Customer 130,CA,West,SKU30,Product 30,Apparel,4,$75.06,$3.75,$43.98,$5.35,$18.01,Website,Visa,Returned
SO-2025-10131,132,01/26/2025,2025-01-28,Customer 131,FL,West,SKU31,Product 31,Baby,3,$85.47,$0.0,$37.39,$7.11,$15.38,Amazon,PayPal,Cancelled
SO-2025-10132,133,07/31/2025,2025-08-02,Customer 132,IL,West,SKU32,Product 32,Pets,1,$76.26,$11.44,$32.26,$7.68,$4.58,Instagram,Mastercard,Returned
SO-2025-10133,134,02/07/2025,2025-02-10,Customer 133,WA,Midwest,SKU33,Product 33,Wellness,1,$55.55,$5.56,$27.57,$5.94,$3.33,Instagram,Mastercard,Returned
SO-2025-10134,135,06/27/2025,2025-06-29,Customer 134,GA,Midwest,SKU34,Product 34,Baby,4,$22.1,$2.21,$11.27,$3.22,$5.3,Website,PayPal,Shipped
SO-2025-10135,136,05/10/2025,2025-05-11,Customer 135,IL,Northeast,SKU35,Product 35,Pets,4,$32.92,$0.0,$13.19,$5.96,$7.9,Instagram,Visa,Shipped
SO-2025-10136,137,02/07/2025,2025-02-09,Customer 136,FL,West,SKU36,Product 36,Wellness,3,$81.49,$8.15,$47.75,$7.46,$14.67,Instagram,PayPal,Cancelled
SO-2025-10137,138,11/30/2025,2025-12-03,Customer 137,AZ,Midwest,SKU37,Product 37,Home & Kitchen,1,$75.78,$0.0,$33.42,$0.66,$4.55,Website,Mastercard,Shipped
SO-2025-10138,139,10/23/2025,2025-10-26,Customer 138,IL,South,SKU38,Product 38,Wellness,4,$61.7,$9.26,$34.32,$7.95,$14.81,Website,PayPal,Cancelled
SO-2025-10139,140,09/27/2025,2025-09-30,Customer 139,NY,Midwest,SKU39,Product 39,Home & Kitchen,4,$24.73,$0.0,$10.81,$6.65,$5.94,Website,PayPal,Returned
SO-2025-10140,141,03/03/2025,2025-03-07,Customer 140,NY,West,SKU40,Product 40,Home & Kitchen,4,$38.46,$1.92,$18.4,$4.52,$9.23,Website,PayPal,Returned
SO-2025-10141,142,04/14/2025,2025-04-17,Customer 141,CA,West,SKU41,Product 41,Apparel,2,$90.97,$0.0,$41.87,$4.39,$10.92,Amazon,Visa,Shipped
SO-2025-10142,143,06/02/2025,2025-06-03,Customer 142,GA,West,SKU42,Product 42,Home & Kitchen,1,$90.96,$9.1,$46.06,$9.06,$5.46,Website,Mastercard,Returned
SO-2025-10143,144,02/08/2025,2025-02-12,Customer 143,PA,Northeast,SKU43,Product 43,Baby,3,$48.84,$4.88,$25.67,$6.94,$8.79,Website,PayPal,Returned
SO-2025-10144,145,01/15/2025,2025-01-18,Customer 144,PA,South,SKU44,Product 44,Home & Kitchen,3,$65.81,$9.87,$36.08,$7.89,$11.85,Instagram,Mastercard,Cancelled
SO-2025-10145,146,02/07/2025,2025-02-08,Customer 145,AZ,South,SKU45,Product 45,Pets,1,$38.05,$0.0,$21.14,$0.34,$2.28,Amazon,Mastercard,Returned
